Word//word combination,Sentiment scores,,,,,,,,Average sentiment score,Notes
автобіографія,0,1,0,0,,,,1,"0,40",
автобус,1,0,-1,0,0,0,1,1,"0,25",
автобусний,0,0,0,0,,,,1,"0,20",
автовиробник,1,1,0,1,,,,1,"0,80",
автовласник,0,0,1,1,,,,1,"0,60",
автовокзал,0,0,1,0,,,,1,"0,40",
автограф,0,0,1,0,,,,1,"0,40",
автозак,0,0,0,0,,,,1,"0,20",
автозаправка,1,1,1,1,,,,1,"1,00",
автозаправний,0,0,1,0,,,,1,"0,40",
автокрадій,-2,-2,-2,-2,,,,-2,"-2,00",
автокран,0,1,1,0,,,,1,"0,60",
автомагістраль,0,1,0,1,,,,1,"0,60",
автомат,-1,-1,-1,0,,,,-2,"-1,00",
автоматизація,0,1,0,1,,,,2,"0,80",
автоматизований,0,0,0,2,,,,2,"0,80",
автоматизувати,0,0,1,0,,,,2,"0,60",
автоматичний,1,0,0,1,,,,1,"0,60",
автоматично,0,1,0,0,1,1,0,1,"0,50",
автомобілебудівний,2,2,1,1,,,,1,"1,40",
автомобіль,2,0,2,2,1,1,0,0,"1,00",
автомобільний,0,0,0,1,,,,0,"0,20",
автономія,1,1,1,1,,,,2,"1,20",
автономний,1,0,1,0,1,0,0,2,"0,63",
автопарк,1,1,1,0,,,,1,"0,80",
автопатруль,0,0,0,0,,,,1,"0,20",
автопригода,-1,-1,-1,0,,,,-1,"-0,80",
автопробіг,0,0,0,0,,,,1,"0,20",
автор,1,0,1,1,1,1,0,0,"0,63",
авторизувати ,1,1,0,0,,,,1,"0,60",
авторитарний,0,1,1,0,,,,1,"0,60",
авторитет,2,1,1,1,1,0,2,2,"1,25",
авторитетний,2,0,1,1,,,,1,"1,00",
авторство,0,1,1,0,,,,1,"0,60",
авторський,1,1,1,2,1,1,1,2,"1,25",
автотранспорт,0,0,0,0,,,,1,"0,20",
автотранспортний,0,0,0,0,,,,1,"0,20",
автофіксація,0,0,0,0,,,,1,"0,20",
автошлях,1,0,0,1,,,,1,"0,60",
агама,1,1,0,0,,,,0,"0,40",
агенство,0,0,0,1,1,0,0,1,"0,38",
агент,1,0,0,0,,,,1,"0,40",
агенція,0,2,1,0,0,0,0,1,"0,50",
агітаційний,-1,-1,0,0,,,,-1,"-0,60",
агітація,-1,-2,1,1,1,0,1,1,"0,25",
агітувати,1,1,1,-1,,,,1,"0,60",
агонія,-2,-2,-2,-1,,,,-2,"-1,80",
аграрій,1,0,0,0,0,1,0,2,"0,50",
аграрний,0,0,1,0,,,,2,"0,60",
агрегат,0,0,0,0,,,,1,"0,20",
агресивний,-2,-2,-2,-2,,,,-2,"-2,00",
агресивність ,-2,-2,-2,-2,,,,-2,"-2,00",
агресія,-2,-2,-2,-2,-2,-2,-2,-2,"-2,00",
агресор,-2,-2,-2,-2,-2,-2,-1,-2,"-1,88",
агровиробник,0,1,0,0,,,,2,"0,60",
агроном ,0,1,0,0,,,,2,"0,60",
агрономічний,0,1,0,0,,,,2,"0,60",
агропродукція,0,2,0,0,,,,2,"0,80",
агропромисловий,0,1,0,0,,,,2,"0,60",
Агросфера,1,1,0,0,,,,2,"0,80",
агротехніка,1,1,0,1,,,,2,"1,00",
агрофірма,0,1,0,0,,,,1,"0,40",
адаптація,0,0,0,1,1,0,0,1,"0,38",
адаптивний,0,1,1,0,,,,1,"0,60",
адаптивність,1,1,1,0,,,,2,"1,00",
адаптований,1,1,1,1,,,,1,"1,00",
адаптувати,2,0,1,1,1,0,0,1,"0,75",
адвокат,2,-1,0,0,1,1,1,1,"0,63",
адвокатка,1,1,1,0,,,,1,"0,80",фемінітив
адвокатський,1,1,1,0,,,,1,"0,80",
адекватний,2,1,1,-1,2,1,1,2,"1,13",
адмінарешт,-1,-1,-1,-2,,,,-1,"-1,20",
адмінбудівля,0,0,0,0,,,,1,"0,20",
адмінвідповідальність,2,2,1,0,,,,2,"1,40",
адміністративний,0,0,0,-1,1,1,1,0,"0,25",
адміністративно-територіальний,0,1,1,0,,,,1,"0,60",
адміністрація,1,1,1,-1,0,2,-1,0,"0,38",
адмінматеріал,0,1,0,0,,,,1,"0,40",
адмінпорушення,-1,-2,-1,0,,,,-1,"-1,00",
адмінреформа,0,1,0,0,,,,1,"0,40",
адмінсправа,0,0,0,0,,,,1,"0,20",
адмірал,0,1,0,1,,,,1,"0,60",
адреналін ,1,2,0,0,,,,1,"0,80",
адресний,0,0,0,0,,,,1,"0,20",
адресувати,0,1,0,0,,,,1,"0,40",
аеробний,0,1,0,0,,,,0,"0,20",
аерозйомка,1,1,1,1,,,,1,"1,00",
аерозоль,0,0,0,0,,,,-1,"-0,20",
аероплан,0,1,1,0,,,,1,"0,60",
аеропорт,1,2,1,0,0,2,-1,1,"0,75",
аероторія,1,1,0,0,,,,1,"0,60",
аерофлот,1,0,1,0,,,,1,"0,60",
АЕС,1,2,1,0,,,,1,"1,00",
ажурний,1,2,1,0,,,,1,"1,00",
азарт,0,1,0,0,,,,-2,"-0,20",
азартний,0,1,0,0,,,,-2,"-0,20",
Азербайджан,0,1,0,0,,,,1,"0,40",
азербайджанець,0,1,-1,-1,-1,0,0,1,"-0,13",власна вставка
азербайджанський,0,0,0,0,,,,1,"0,20",
азербайджанці,0,1,0,0,,,,1,"0,40",
Азія,0,-1,-1,1,0,0,0,-1,"-0,25",
азовський,0,1,0,1,,,,1,"0,60",
азот ,0,2,0,0,,,,1,"0,60",
АЗС,0,0,0,1,,,,1,"0,40",
айва,1,1,0,1,,,,0,"0,60",
айсберг ,1,2,0,0,,,,1,"0,80",
айфон,0,2,-1,2,,,,1,"0,80",
академік,2,1,1,1,,,,1,"1,20",
академіст,1,2,1,0,,,,1,"1,00",
академічний,0,0,1,1,1,0,1,1,"0,63",
академія,0,0,1,1,2,2,1,2,"1,13",
Академмістечко,0,0,0,1,,,,0,"0,20",
акація,0,0,0,1,,,,1,"0,40",
акваланг,0,1,0,1,,,,1,"0,60",
аквалангіст ,0,0,0,1,,,,1,"0,40",
аквамариновий,0,1,0,0,,,,1,"0,40",
акварель,0,2,0,0,,,,0,"0,40",
акварельний,0,1,0,1,,,,1,"0,60",
акваторія,0,0,0,0,,,,1,"0,20",
аккаунт,0,0,0,0,,,,1,"0,20",
акліматизуватися ,0,1,0,0,,,,1,"0,40",
акне,-2,-2,-2,0,,,,-1,"-1,40",
акомпанемент,0,1,0,0,,,,0,"0,20",
акорд,0,1,0,0,,,,1,"0,40",
акордеон,0,0,0,1,,,,1,"0,40",
акредитація,0,2,0,0,,,,1,"0,60",
акредитований,0,0,0,1,,,,1,"0,40",
акробатика ,0,0,0,1,,,,1,"0,40",
акронім,0,0,0,0,,,,1,"0,20",
Акрополь,0,0,0,0,,,,1,"0,20",
аксесуар,1,2,1,2,1,1,0,0,"1,00",
акт,-1,0,-1,0,0,0,0,1,"-0,13",
актив,1,2,1,1,1,0,2,1,"1,13",
активізація,0,1,1,1,1,0,1,2,"0,88",
активізувати,1,1,1,1,1,1,0,2,"1,00",
активіст,0,1,1,1,1,1,0,2,"0,88",
активний,1,1,1,1,2,2,2,1,"1,38",
активність,1,1,1,1,1,2,2,2,"1,38",
активно,2,1,1,1,1,1,1,1,"1,13",
активувати,0,0,1,1,,,,1,"0,60",
актор,1,1,1,1,1,1,0,1,"0,88",
акторка,1,0,1,0,,,,1,"0,60",фемінітив
актуальний,2,2,2,1,1,1,2,2,"1,63",
актуальність,1,1,1,1,,,,2,"1,20",
актуально,2,1,1,1,,,,2,"1,40",
акула,-1,-1,0,-1,,,,-2,"-1,00",
акумулятор,0,0,0,1,,,,1,"0,40",
акуратний,1,2,1,1,,,,2,"1,40",
акуратність ,1,2,1,1,,,,2,"1,40",
акушер,2,-2,1,0,,,,2,"0,60",
акцент,1,2,0,1,0,1,1,1,"0,88",
акцентування,1,1,0,0,,,,1,"0,60",
акцентувати,0,0,0,2,0,1,1,2,"0,75",
акциз,0,1,0,0,,,,1,"0,40",
акцизний,0,1,0,-1,,,,1,"0,20",
акційний,2,2,1,1,,,,2,"1,60",
акціонер,1,2,1,0,,,,1,"1,00",
акціонерний,0,1,1,0,,,,1,"0,60",
акція,1,1,2,2,1,2,1,2,"1,50",
албанець,0,1,0,0,0,0,0,1,"0,25",власна вставка
Албанія,0,1,0,0,,,,1,"0,40",
албанський,0,1,0,0,0,0,0,1,"0,25",власна вставка
албанці,0,1,0,0,0,0,0,1,"0,25",власна вставка
алгоритм,0,0,0,0,1,1,1,1,"0,50",
алґоритмічність,0,1,0,1,,,,0,"0,40",
алегорія,1,1,1,0,,,,-1,"0,40",
алерген,-1,0,-1,-1,,,,-2,"-1,00",
алергічний,-2,-2,-1,0,,,,-2,"-1,40",
алергія,-2,-1,-2,-2,-2,-1,-2,-2,"-1,75",
алея,1,1,0,0,,,,1,"0,60",
Алея Героїв Крут,2,2,2,1,,,,0,"1,40",
Алжир,0,0,0,0,,,,1,"0,20",
алжирець,0,0,0,0,0,0,0,1,"0,13",власна вставка
алжирський,0,0,0,0,0,0,0,1,"0,13",власна вставка
алжирці,0,0,0,0,0,0,0,1,"0,13",власна вставка
алібі,0,0,1,1,,,,1,"0,60",юридичний термін
алкоголізм,-2,-2,-2,-2,,,,-2,"-2,00",
алкоголік,-2,-2,-2,-2,,,,-2,"-2,00",
алкоголь,-1,-2,-1,-1,-1,-1,-1,-2,"-1,25",
алкогольний,-1,0,0,-1,-1,-2,-2,-2,"-1,13",
алкозалежність,-2,-2,-2,-2,,,,-2,"-2,00",
алмаз,1,1,2,1,,,,1,"1,20",
Алушта,0,1,0,1,,,,1,"0,60",
алфавіт,0,0,1,1,,,,0,"0,40",
Алчевськ,0,-1,0,0,0,0,0,0,"-0,13",власна вставка
альбом,0,0,0,0,0,0,1,1,"0,25",
Альпи,0,1,0,1,,,,1,"0,60",
альпійський,0,1,0,1,,,,1,"0,60",
альпінізм,0,1,1,1,,,,1,"0,80",
альпініст,0,1,1,1,,,,1,"0,80",
альтернатива,1,1,1,2,1,1,1,2,"1,25",
альтернативний,1,1,0,1,0,1,1,2,"0,88",
альтруїзм,0,0,0,0,,,,2,"0,40",
альфа,0,0,0,0,,,,1,"0,20",
альянс,0,1,0,0,,,,1,"0,40",
алюмінієвий,0,0,0,1,,,,1,"0,40",
алюміній,0,0,0,2,,,,1,"0,60",
Аляска,0,2,0,1,,,,1,"0,80",
амбасадор,2,2,1,2,,,,1,"1,60",
амбітний,1,2,2,2,1,0,0,2,"1,25",
амбіційний,2,2,1,0,,,,2,"1,40",
амбіція,0,2,2,2,1,1,1,2,"1,38",
амброзія ,2,-2,-1,0,,,,0,"-0,20",
амбулаторія,0,1,0,0,,,,0,"0,20",
амбулаторний,0,1,0,-2,,,,0,"-0,20",
амбулаторно,0,0,0,1,,,,0,"0,20",
Америка,2,-1,2,1,2,0,1,1,"1,00",
американець,1,0,2,1,1,0,1,1,"0,88",
американський,2,1,1,1,1,1,2,1,"1,25",
американці,0,1,-1,1,2,1,0,2,"0,75",власна вставка
аміак,0,0,0,0,,,,-1,"-0,20",
амінокислота ,0,0,0,0,,,,-1,"-0,20",
амінь,0,1,0,0,,,,1,"0,40",
Амман,0,0,0,0,0,0,0,1,"0,13",власна вставка
амнезія ,-2,-1,-2,-2,,,,-2,"-1,80",
амністія,-1,-1,0,0,0,0,1,-1,"-0,25",
амністований,0,0,0,1,,,,1,"0,40",
аморальний,-1,0,0,-2,,,,-1,"-0,80",
амортизація,2,0,1,0,,,,0,"0,60",
амплітуда,0,1,0,0,,,,1,"0,40",
ампутація,-2,-2,-1,-2,,,,-2,"-1,80",
Амстердам,2,2,2,0,,,,1,"1,40",
АМУР,0,0,0,0,,,,1,"0,20",
амфетамін,-2,-2,-2,0,,,,-2,"-1,60",
амфітеатр,0,2,0,0,,,,0,"0,40",
анаконда,-2,-2,-1,-1,,,,0,"-1,20",
аналіз,1,1,1,1,0,1,-1,1,"0,63",
аналізувати,1,1,1,2,1,2,1,2,"1,38",
аналітик,2,0,0,0,0,1,1,1,"0,63",
аналітик-міжнародник,0,1,1,0,,,,1,"0,60",
аналітика,0,1,1,0,0,2,1,1,"0,75",
аналітико-синтетичний,0,0,1,0,,,,0,"0,20",
аналітичний,0,0,0,1,0,0,1,1,"0,38",
аналітичність,0,1,0,1,,,,1,"0,60",
аналог,0,0,2,0,1,-1,0,2,"0,50",
аналогічний,1,0,-1,0,-1,1,1,1,"0,25",
аналогічно,0,0,2,0,,,,1,"0,60",
аналогія,0,0,0,1,,,,1,"0,40",
ананас,0,2,0,1,,,,1,"0,80",
анархія,0,0,0,-2,,,,0,"-0,40",
анастезія,-1,-2,0,1,,,,-1,"-0,60",
анатомічний,0,0,0,0,,,,1,"0,20",
анатомія,0,1,0,0,,,,1,"0,40",
анафора,1,0,0,0,,,,0,"0,20",
ангел,2,2,2,1,,,,2,"1,80",
Ангела Меркель,2,2,2,1,1,2,1,1,"1,50",Федеральний канцлер Німеччини
англійський,1,1,2,1,2,2,1,0,"1,25",
англійці,1,1,1,0,,,,1,"0,80",
Англія,2,2,1,0,,,,1,"1,20",
англомовний,2,2,0,0,,,,1,"1,00",
Ангола,0,0,0,0,,,,1,"0,20",
ангольський,0,0,0,0,0,0,0,1,"0,13",власна вставка
Андорра,0,1,1,0,0,0,0,1,"0,38",власна вставка
Андорра-ла-Велья,0,1,0,0,0,0,0,1,"0,25",власна вставка
андоррець,0,0,0,0,0,0,0,1,"0,13",власна вставка
андоррський,0,0,0,0,0,0,0,1,"0,13",власна вставка
андоррці,0,0,0,0,0,0,0,1,"0,13",власна вставка
андроїд,2,0,1,1,,,,0,"0,80",
анекдот,1,0,1,2,2,0,1,2,"1,13",
анекдотичний,2,2,0,1,,,,1,"1,20",
анексія,-2,-2,-2,-2,,,,-2,"-2,00",
анексований,-2,-2,-2,0,,,,-2,"-1,60",
анексувати,-1,-2,-2,-2,-2,-2,-2,-2,"-1,88",власна вставка
анестезія,0,0,1,2,,,,-1,"0,40",
аніматор,2,1,1,2,,,,1,"1,40",
анімаційний,0,1,1,0,,,,1,"0,60",
анімація,1,1,1,0,,,,1,"0,80",
аніскільки,0,0,0,0,,,,1,"0,20",
анітрохи,0,0,0,0,,,,1,"0,20",
Анкара,0,2,0,0,,,,1,"0,60",
анкета,1,1,0,0,,,,1,"0,60",
анкетування,1,1,0,0,,,,1,"0,60",
аномалія,-1,-2,-2,-1,-1,-1,0,-2,"-1,25",
аномальний,-1,-1,-1,0,,,,-2,"-1,00",
анонім,0,-1,0,0,,,,-1,"-0,40",
анонімний,0,-1,1,0,0,-1,-1,0,"-0,25",
анонімність,1,-1,0,1,,,,1,"0,40",
анонімно,0,-1,0,0,0,-1,-1,0,"-0,38",
анонс,0,1,1,0,,,,0,"0,40",
анонсований,1,0,0,1,0,0,0,1,"0,38",
анонсувати,1,0,1,0,1,0,0,2,"0,63",
анорексія,-1,-2,-1,-2,,,,-2,"-1,60",
анотування,0,0,0,1,,,,0,"0,20",
ансамбль,0,0,0,1,,,,1,"0,40",
антагонізм,-1,-1,0,0,,,,-1,"-0,60",
антагоніст,-1,-1,-2,-2,-2,0,-1,-1,"-1,25",
Анталія,0,2,0,0,,,,1,"0,60",
Антананаріву,0,1,0,0,1,0,0,1,"0,38",власна вставка
Антарктида,0,2,0,-1,,,,1,"0,40",
Антарктика,-1,0,1,0,,,,1,"0,20",
антарктичний,0,1,0,-1,,,,1,"0,20",
антена,0,1,1,0,,,,1,"0,60",
антибактеріальний,1,1,1,1,,,,2,"1,20",
антибіотик,-2,-2,-2,1,,,,-2,"-1,40",
антивірусний,2,1,1,2,,,,2,"1,60",
антивоєнний,0,1,1,1,,,,1,"0,80",
антиген,0,-1,0,0,,,,0,"-0,20",
антигромадський,0,1,0,0,,,,0,"0,20",
Антигуа і Барбуда,0,2,0,0,1,0,0,1,"0,50",власна вставка
антидемократичний,2,2,0,0,,,,-1,"0,60",
антидепресант,-2,-1,-2,0,,,,-1,"-1,20",
антикваріат,1,1,1,1,,,,1,"1,00",
антикорупційний,2,2,2,2,2,1,1,2,"1,75",
антикорупціонер,2,2,2,-1,,,,1,"1,20",
антикризовий,2,1,1,1,,,,2,"1,40",
антилопа,0,1,0,1,,,,1,"0,60",
антимонополія,0,1,0,1,,,,1,"0,60",
антимонопольний,0,1,0,1,,,,1,"0,60",
антинародний,0,-1,0,0,,,,-1,"-0,40",
антиоксидант,0,0,0,0,,,,-1,"-0,20",
антиполіцейський,0,-1,0,0,,,,0,"-0,20",
антипремія,-2,-2,-1,0,,,,-1,"-1,20",
антирасизм ,-2,-1,2,-1,,,,-1,"-0,60",
антирасистський,-2,-2,2,-1,,,,-1,"-0,80",
антирейтинг,-1,-1,-1,0,,,,-2,"-1,00",
антирекорд,-1,-2,-2,-2,,,,-2,"-1,80",
антисептик,2,1,1,1,2,2,1,1,"1,38",
антисептичний,1,0,0,1,,,,2,"0,80",
антитерористичний,2,2,1,-1,,,,2,"1,20",
антитіло,1,-2,0,1,2,2,1,2,"0,88",
антициклон,-1,1,0,0,,,,1,"0,20",
античний,0,0,0,1,,,,1,"0,40",
античність ,1,0,0,0,,,,0,"0,20",
антропоген,0,1,0,0,,,,0,"0,20",
антропоцентричність,0,0,0,0,,,,2,"0,40",
антураж,1,0,0,1,,,,1,"0,60",
апарат,1,1,1,-1,1,0,1,1,"0,63",
апаратний,0,1,0,0,,,,0,"0,20",
апаратура,0,0,1,1,,,,0,"0,40",
апартаменти,2,2,1,1,,,,1,"1,40",
апатичний,-2,-2,-1,0,,,,-1,"-1,20",
апатія,-2,-2,-2,-1,,,,-2,"-1,80",
апдейт,1,2,0,1,,,,2,"1,20",
апельсин,1,0,0,2,0,1,1,1,"0,75",
апельсиновий,0,0,0,1,0,1,1,0,"0,38",
апелювати,0,1,0,0,,,,1,"0,40",
апеляційний,0,1,0,0,,,,1,"0,40",
апеляція,0,1,0,0,,,,1,"0,40",
апендицит,-2,-2,-2,-1,,,,-1,"-1,60",
апетит,2,2,1,1,,,,2,"1,60",
апетитний,2,2,1,1,,,,2,"1,60",
аплодисмент,1,2,2,1,,,,1,"1,40",
аплодувати ,1,2,1,1,,,,1,"1,20",
апогей,1,0,0,0,,,,0,"0,20",
апокаліпсис,-2,-2,-2,-1,,,,-1,"-1,60",виправлено з апокаліпс
апокаліптичний,0,0,-1,0,,,,-1,"-0,40",
апостол,0,0,0,0,,,,1,"0,20",
апріорі,2,0,0,0,,,,0,"0,40",
апробація,0,1,0,1,,,,2,"0,80",
аптека,1,1,-2,1,1,1,1,2,"0,75",
аптекар ,0,1,2,2,,,,1,"1,20",
аптечка,1,-1,2,1,1,1,1,2,"1,00",
аптечний,0,0,1,1,,,,1,"0,60",
араб,0,2,-1,1,0,0,0,1,"0,38",власна вставка
араби,0,0,0,0,,,,1,"0,20",
арабіка,1,2,0,1,,,,0,"0,80",
арабський,0,0,0,0,,,,1,"0,20",
Арарат,0,2,0,1,,,,1,"0,80",
арахіс,0,2,1,1,,,,0,"0,80",
арахісовий,2,2,1,1,,,,0,"1,20",
арбітр,0,0,0,1,,,,0,"0,20",
Аргентина,0,-2,0,0,,,,1,"-0,20",
аргентинець,0,2,2,1,0,0,0,1,"0,75",власна вставка
аргентинський,0,2,2,1,0,0,0,1,"0,75",власна вставка
аргентинці,0,2,2,1,0,0,0,1,"0,75",власна вставка
аргумент,2,2,1,0,1,0,1,2,"1,13",
аргументація,0,0,0,2,2,1,1,2,"1,00",
аргументований,1,1,1,2,,,,1,"1,20",
аргументувати,0,0,1,1,,,,2,"0,80",
арена,0,0,0,0,1,0,1,0,"0,25",
арешт,-2,-2,-2,-2,-2,-1,-1,-2,"-1,75",
арештований,-1,-2,-2,-1,,,,2,"-0,80",
Аризона,0,1,0,0,,,,1,"0,40",штат  США; можливий варіант - показник неправильного написання
аристократ,2,2,1,1,,,,1,"1,40",
аристократизм ,2,2,1,1,,,,1,"1,40",
аристократичний,2,2,1,1,,,,1,"1,40",
аритмія,-2,-2,-2,0,,,,-2,"-1,60",
арифметика,0,1,0,1,,,,0,"0,40",
арифметичний,0,1,0,1,,,,0,"0,40",
арійський,0,0,0,-1,,,,0,"-0,20",
арка,0,1,0,0,,,,1,"0,40",
Аркадія,2,2,0,1,,,,1,"1,20",
Арканзас ,0,0,0,0,,,,1,"0,20",штат США
Арктика,0,1,0,0,,,,1,"0,40",
арктичний,0,1,0,0,,,,1,"0,40",
аркуш,0,0,0,0,0,1,1,0,"0,25",
армагедон,-2,-2,-2,-1,,,,-1,"-1,60",чи є варіанти написання?
арматура,1,1,0,1,,,,0,"0,60",
армієць,1,1,1,-1,0,0,0,2,"0,50",власна вставка
армійський,0,0,0,0,,,,2,"0,40",
армія,1,-1,1,2,-1,-1,1,2,"0,50",
аромат,0,1,1,2,2,1,1,1,"1,13",
ароматизатор,1,-2,1,1,1,1,1,-1,"0,38",
ароматний,2,2,1,1,,,,2,"1,60",
арсенал,0,0,-1,0,,,,0,"-0,20",
артеріальний,0,0,1,1,,,,-1,"0,20",
артерія,0,0,0,1,,,,0,"0,20",
артефакт,1,0,2,1,,,,0,"0,80",
артикулювати,0,1,0,0,,,,0,"0,20",
артикуляція,0,1,0,0,,,,1,"0,40",
артилерійський,0,1,0,0,,,,1,"0,40",
артилерія,1,1,0,-1,,,,0,"0,20",
артист,1,2,1,1,2,0,1,1,"1,13",
артистка,1,1,1,1,,,,2,"1,20",фемінітив
артхаус,0,0,0,1,,,,0,"0,20",
арфа ,0,0,0,0,,,,1,"0,20",
археолог,0,1,0,0,,,,0,"0,20",
археологічний ,1,1,0,1,,,,0,"0,60",
архів,0,0,0,1,,,,0,"0,20",
архіваріус,0,0,0,1,,,,0,"0,20",
архіватор,0,0,0,1,,,,0,"0,20",
архієпископ,0,0,0,1,,,,0,"0,20",
архітектор,1,0,0,0,0,0,1,1,"0,38",
архітектура,2,1,1,0,,,,1,"1,00",
архітектурний,0,2,1,1,,,,1,"1,00",
асиметричний,-1,0,0,0,,,,-1,"-0,40",
асиметрія,-1,0,0,0,,,,-1,"-0,40",
асиміляція ,0,1,0,0,,,,0,"0,20",
асистент,1,1,2,1,1,0,1,1,"1,00",
Асканія-Нова,2,0,0,1,,,,2,"1,00",відмінюється лише перша частина   
асортимент,0,0,0,2,1,0,1,1,"0,63",
асоціативний,0,0,0,0,,,,1,"0,20",
асоціація,1,1,1,1,0,1,0,2,"0,88",
асоціювати,0,0,0,0,,,,1,"0,20",
асоціюватися,1,1,1,0,,,,1,"0,80",
аспект ,0,0,0,0,,,,1,"0,20",
аспірант,0,0,0,1,,,,1,"0,40",
астероїд,0,1,0,-2,,,,0,"-0,20",
астма,-2,-2,-1,-2,,,,-2,"-1,80",
астматичний,-2,-2,-1,-1,,,,-1,"-1,40",
астролог,0,1,0,0,,,,0,"0,20",
астрологічний,0,1,0,1,,,,0,"0,40",
астрологія,2,1,1,1,,,,1,"1,20",
астронавт,0,1,0,0,,,,0,"0,20",
астроном,0,0,0,1,,,,1,"0,40",
астрономіф,0,0,0,1,,,,0,"0,20",
астрономічний ,1,1,1,0,,,,0,"0,60",
астрономія,1,1,1,1,,,,1,"1,00",
астрофізик,0,0,0,1,,,,0,"0,20",
астрофізика,0,1,1,0,,,,1,"0,60",
Асунсьйон,0,0,0,0,0,0,0,1,"0,13",власна вставка
асфальт,0,0,0,1,,,,1,"0,40",
асфальтобетонний,0,0,0,1,,,,1,"0,40",
асфальтоукладач,0,0,0,1,,,,0,"0,20",
асфальтування,0,0,0,1,,,,2,"0,60",
асфальтувати,0,0,1,1,,,,1,"0,60",
атака,-2,-2,-2,-2,-2,-2,1,-2,"-1,63",
атакувати,-2,-2,-2,-1,,,,-2,"-1,80",
атеїст,0,0,0,0,,,,-1,"-0,20",
ательє,0,0,0,1,1,0,1,0,"0,38",
атеросклероз,-2,-2,-2,-1,,,,-1,"-1,60",
атестація,1,0,2,1,,,,2,"1,20",
Атлантика,0,1,0,0,,,,1,"0,40",
атлантичний,0,1,0,1,,,,1,"0,60",
атлас,0,0,0,1,,,,1,"0,40",
атласний,0,0,0,0,,,,1,"0,20",
атлет,1,1,0,1,,,,2,"1,00",
атлетичний,0,1,0,1,,,,1,"0,60",
атмосфера,2,2,1,0,1,1,0,1,"1,00",
атмосферний,2,2,1,0,,,,1,"1,20",
